,Name,Category,Image,Well_Known_Movie,Bio
0,Freida Pinto,Actress,"https://m.media-amazon.com/images/M/MV5BMTg5NDI0MzM0NF5BMl5BanBnXkFtZTcwOTQ4NTIwNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Slumdog Millionaire,"Freida Selena Pinto was born in Bombay (now Mumbai), Maharashtra, India, to Sylvia, a school principal, and Frederick Pinto, a senior bank branch manager"
1,Julie Christie,Actress,"https://m.media-amazon.com/images/M/MV5BMTY4MzIzMTE5MV5BMl5BanBnXkFtZTcwNDc3NDA2MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Doctor Zhivago,"Julie Christie, the British movie legend whom Al Pacino called ""the most poetic of all actresses,"" was born in Chabua, Assam, India, on April 14, 1940, the daughter of Rosemary (Ramsden), a painter, and Francis St"
2,Priyanka Chopra,Actress,"https://m.media-amazon.com/images/M/MV5BMjAxNzUwNjExOV5BMl5BanBnXkFtZTcwNDUyMTUxNw@@._V1_UY209_CR70,0,140,209_AL_.jpg",Baywatch,"Priyanka Chopra Jonas (née Chopra) was born on July 18, 1982 in Jamshedpur, India, to the family of Capt"
3,M. Night Shyamalan,Producer,"https://m.media-amazon.com/images/M/MV5BMTczMTA5OTMxMl5BMl5BanBnXkFtZTcwMDA4NDg1Mw@@._V1_UY209_CR87,0,140,209_AL_.jpg",Lady in the Water,"Born in Puducherry, India, and raised in the posh suburban Penn Valley area of Philadelphia, Pennsylvania, M"
4,Karen David,Actress,"https://m.media-amazon.com/images/M/MV5BMDZkYjc3YzQtYTExNi00Njc1LTllNGQtMzk2ZGViNWZhNGNkXkEyXkFqcGdeQXVyNDg2NzE1Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg",Galavant,"From India to Canada, England to America, Karen David has crisscrossed the world making true fans everywhere along the way"
5,Erick Avari,Actor,"https://m.media-amazon.com/images/M/MV5BNzk3OTE3NTg3N15BMl5BanBnXkFtZTYwMDc1ODAz._V1_UY209_CR3,0,140,209_AL_.jpg",Mr. Deeds,"Erick Avari was born on April 13, 1952 in Darjeeling, India"
6,Shah Rukh Khan,Actor,"https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg",Don 2,"Shahrukh Khan was born on 2 November 1965 in New Delhi, India"
7,Mark Heap,Actor,"https://m.media-amazon.com/images/M/MV5BMTgyMzE4MjQ1OV5BMl5BanBnXkFtZTcwMzcxMTUwOA@@._V1_UY209_CR34,0,140,209_AL_.jpg",Stardust,"Mark Heap was born on May 13, 1957 in Kodaikanal, Tamil Nadu, India"
8,Aamir Khan,Actor,"https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Taare Zameen Par,Aamir is no doubt one of the most dedicated actors in this world
9,Aishwarya Rai Bachchan,Actress,"https://m.media-amazon.com/images/M/MV5BMjEyMjEyODkzN15BMl5BanBnXkFtZTcwODkxMTY1Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg",Jodhaa Akbar,"Born into a traditional south Indian family, Aishwarya started modeling at a young age"
